time;model_id;model_name;port_name;data
33;2;c2;;<200,0.242,0.05,0.708>
33;3;c3;outputNeighborhood;<200,0.201,0.029,0.77>
33;3;c3;;<200,0.198,0.026,0.776>
34;1;c1;outputNeighborhood;<100,0.06,0.02,0.92>
34;1;c1;;<100,0.059,0.017,0.924>
34;2;c2;outputNeighborhood;<200,0.242,0.05,0.708>
34;2;c2;;<200,0.238,0.044,0.718>
34;3;c3;outputNeighborhood;<200,0.198,0.026,0.776>
34;3;c3;;<200,0.196,0.023,0.781>
35;1;c1;outputNeighborhood;<100,0.059,0.017,0.924>
35;1;c1;;<100,0.058,0.015,0.927>
35;2;c2;outputNeighborhood;<200,0.238,0.044,0.718>
35;2;c2;;<200,0.234,0.039,0.727>
35;3;c3;outputNeighborhood;<200,0.196,0.023,0.781>
35;3;c3;;<200,0.194,0.02,0.786>
36;1;c1;outputNeighborhood;<100,0.058,0.015,0.927>
36;1;c1;;<100,0.057,0.013,0.93>
36;2;c2;outputNeighborhood;<200,0.234,0.039,0.727>
36;2;c2;;<200,0.231,0.034,0.735>
36;3;c3;outputNeighborhood;<200,0.194,0.02,0.786>
36;3;c3;;<200,0.192,0.018,0.79>
37;1;c1;outputNeighborhood;<100,0.057,0.013,0.93>
37;1;c1;;<100,0.056,0.011,0.933>
37;2;c2;outputNeighborhood;<200,0.231,0.034,0.735>
37;2;c2;;<200,0.228,0.03,0.742>
37;3;c3;outputNeighborhood;<200,0.192,0.018,0.79>
37;3;c3;;<200,0.19,0.016,0.794>
38;1;c1;outputNeighborhood;<100,0.056,0.011,0.933>
38;1;c1;;<100,0.056,0.009,0.935>
38;2;c2;outputNeighborhood;<200,0.228,0.03,0.742>
38;2;c2;;<200,0.226,0.026,0.748>
38;3;c3;outputNeighborhood;<200,0.19,0.016,0.794>
38;3;c3;;<200,0.189,0.014,0.797>
39;1;c1;outputNeighborhood;<100,0.056,0.009,0.935>
39;1;c1;;<100,0.055,0.008,0.937>
39;2;c2;outputNeighborhood;<200,0.226,0.026,0.748>
39;2;c2;;<200,0.224,0.023,0.753>
39;3;c3;outputNeighborhood;<200,0.189,0.014,0.797>
39;3;c3;;<200,0.188,0.012,0.8>
