time;model_id;model_name;port_name;data
0;496;(-17,64);;<0>
0;497;(-18,64);;<0>
0;498;(-21,64);;<0>
0;499;(-24,64);;<0>
0;500;(75,63);;<0>
0;501;(74,63);;<0>
0;502;(73,63);;<0>
0;503;(72,63);;<0>
0;504;(71,63);;<0>
0;505;(68,63);;<0>
0;506;(67,63);;<0>
0;507;(65,63);;<0>
0;508;(55,63);;<0>
0;509;(51,63);;<0>
0;510;(47,63);;<0>
0;511;(42,63);;<0>
0;512;(40,63);;<0>
0;513;(33,75);;<0>
0;514;(39,63);;<0>
0;515;(38,63);;<0>
0;516;(37,63);;<0>
0;517;(36,63);;<0>
0;518;(31,63);;<0>
0;519;(66,63);;<0>
0;520;(30,63);;<0>
0;521;(-21,75);;<0>
0;522;(29,63);;<0>
0;523;(27,63);;<0>
0;524;(26,63);;<0>
0;525;(25,63);;<0>
0;526;(24,63);;<0>
0;527;(22,63);;<0>
0;528;(20,63);;<0>
0;529;(17,63);;<0>
0;530;(16,63);;<0>
0;531;(12,63);;<0>
0;532;(20,65);;<0>
0;533;(10,63);;<0>
0;534;(8,63);;<0>
0;535;(4,63);;<0>
0;536;(2,63);;<0>
0;537;(-1,63);;<0>
0;538;(-2,63);;<0>
0;539;(-4,63);;<0>
0;540;(-5,63);;<0>
0;541;(-6,63);;<0>
0;542;(-7,63);;<0>
0;543;(-8,63);;<0>
0;544;(-9,63);;<0>
0;545;(-11,63);;<0>
0;546;(-12,63);;<0>
0;547;(24,69);;<0>
0;548;(-15,63);;<0>
0;549;(-16,63);;<0>
0;550;(-17,63);;<0>
0;551;(-18,63);;<0>
0;552;(-19,63);;<0>
0;553;(-20,63);;<0>
0;554;(-23,63);;<0>
0;555;(-24,63);;<0>
0;556;(-18,65);;<0>
0;557;(74,62);;<0>
0;558;(73,62);;<0>
0;559;(45,68);;<0>
0;560;(22,66);;<0>
0;561;(-13,64);;<0>
0;562;(72,62);;<0>
0;563;(71,62);;<0>
0;564;(70,62);;<0>
0;565;(64,62);;<0>
0;566;(63,62);;<0>
0;567;(60,62);;<0>
0;568;(59,62);;<0>
0;569;(56,62);;<0>
0;570;(54,62);;<0>
0;571;(49,62);;<0>
0;572;(47,62);;<0>
0;573;(46,62);;<0>
0;574;(43,62);;<0>
0;575;(42,62);;<0>
0;576;(-7,65);;<0>
0;577;(40,62);;<0>
0;578;(39,62);;<0>
0;579;(38,62);;<0>
0;580;(35,62);;<0>
0;581;(32,62);;<0>
0;582;(62,73);;<0>
0;583;(31,62);;<0>
0;584;(29,62);;<0>
0;585;(28,62);;<0>
